date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:40:44	48941/48941	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:40:42%20GMT	http://www.tailorspoint.com/checkout/cart	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/checkout/cart.html	(from http://www.tailorspoint.com/about_us)
19:40:51	76293/76293	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:40:46%20GMT	http://www.tailorspoint.com/checkout	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/checkout.html	(from http://www.tailorspoint.com/about_us)
19:40:51	54440/54440	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:40:47%20GMT	http://www.tailorspoint.com/login	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/login.html	(from http://www.tailorspoint.com/about_us)
19:40:52	60980/60980	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:40:48%20GMT	http://www.tailorspoint.com/products/form-wear	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/products/form-wear.html	(from http://www.tailorspoint.com/about_us)
19:40:56	41700/41700	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:40:53%20GMT	http://www.tailorspoint.com/privacy_policy	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/privacy_policy.html	(from http://www.tailorspoint.com/about_us)
19:40:56	39679/39679	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:40:54%20GMT	http://www.tailorspoint.com/shipping_policy	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/shipping_policy.html	(from http://www.tailorspoint.com/about_us)
19:40:57	39680/39680	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:40:55%20GMT	http://www.tailorspoint.com/return_refund	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/return_refund.html	(from http://www.tailorspoint.com/about_us)
19:41:00	39678/39678	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:40:58%20GMT	http://www.tailorspoint.com/faq	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/faq.html	(from http://www.tailorspoint.com/about_us)
19:41:00	45169/45169	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:40:59%20GMT	http://www.tailorspoint.com/reach_us	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/reach_us.html	(from http://www.tailorspoint.com/about_us)
19:41:01	1175/1175	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Mar%202019%2014:41:02%20GMT	http://www.tailorspoint.com/about_us.php	C:/Users/Huzaifa%20Imran/Downloads/tailor/www.tailorspoint.com/about_us.php	(from http://www.tailorspoint.com/about_us)
